id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt
5994,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,Highlander Men Grey Checked Slim Fit Shirt
2293,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010.0,Casual,Nike Women Accuracy Pink T-shirt
12346,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Formal,Reebok Women Grey Solid V-Neck T-shirt
33947,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,ADIDAS Men Navy Blue & White Polo T-shirt
2273,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Mens Red Polo T-shirt
10374,Women,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,United Colors of Benetton Women Solid Green T-shirt
21873,Boys,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Chhota Bheem Kids Boys Lets Rock Green T-shirt
33212,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Sepia Women Black Top
3876,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Wrangler Men's Greensboro Raw Edge Black T-shirt
20173,Men,Apparel,Topwear,Shirts,Purple,Winter,2011.0,Casual,Wrangler Men Dark Purple Shirt
12017,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Mark Taylor Men Purple White Striped Shirts
33188,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Sepia Women Purple Top
2303,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010.0,Sports,Nike Women Icon SS Pink T-shirt
14667,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Basics Men White Slim Fit Checked Shirt
14026,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Sports,Nike Men Solid Grey Tshirts
33175,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Sepia Women Printed Blue Top
41787,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Remanika Women Purple Top
3820,Girls,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,Disney Kids Girl's Minnie Summer Time White Top
9460,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men Stripes White Blend White Shirts
4962,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Gini and Jony Boy's Karsen Blue White Infant Kidswear
32503,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Scullers Men White Shirt
3819,Girls,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Disney Kids Girl's Minnie Summer Time Pink Top
20230,Women,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,Wrangler Women Fluro Grey Sweater
31027,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Arrow New York Men White Striped Slim Fit Shirt
29046,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,ADIDAS Men Aess  Blue Polo T-shirt
20023,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,United Colors of Benetton Men Red Check Shirt
3364,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Myntra Men's Brain Blue T-shirt
8187,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Locomotive Men Solid Poplin Laibrook Blue Shirts
35260,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Jennifer Blue Top
11025,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Wrangler Women Studd Polo Pink T-shirt
52088,Women,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Myntra Women Grey T-shirt
34067,Women,Apparel,Topwear,Shirts,Cream,Summer,2012.0,Casual,Femella Women Printed Cream Shirt
10869,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Fly The Wind White T-Shirts
43538,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,French Connection Women Blue Top
54890,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Do u speak green Women Green Top
